sentence1,sentence2,score
एउटा मान्छे गितार बजाउँदै छ।,एकजना मानिस गितार बजाउँदै गीत गाउँदै छन्।,3.6
मानिसले फोनमा कुरा गर्यो।,मान्छे फोनमा कुरा गर्दैछ।,3.6
एक मानिस माछा मार्दै छ।,एक पुरुष व्यायाम गर्दै छन्।,0.5
एकजना मानिस उचालिरहेको छ।,एउटा मान्छे बोल्दै छ।,0.8
दुई जना केटाले गाडी चलाइरहेका छन् ।,दुई खाडीहरू नाचिरहेका छन्।,0.6
एउटा मानिस घोडामा सवार छ।,एउटी केटी घोडा चढ्दै छिन्।,2.6
एकजना मानिस साइकल चलाइरहेका छन्।,बाँदर बाइक चलाउँदै छ।,2.0
एउटा मान्छे आलु काट्दै छ।,एउटी महिला आलु बोक्दै छिन्।,2.2
एउटी महिला आलु बोक्दै छिन्।,एउटा मान्छे आलु काट्दै छ।,2.4
एउटा मान्छे गितार बजाउँदै छ।,कोही गितार बजाइरहेका छन्।,3.6
एउटी महिला लेक काट्दै छिन्।,एउटी महिला अदुवा काट्दै छिन्।,2.2
मानिसले एउटा कागजको प्लेट काट्यो।,एउटा मान्छे कागजको प्लेट काट्दै छ।,4.8
मान्छे गितार बजाउँदै छ।,एक जना मानिस बाँसुरी बजाइरहेका छन्।,1.643
एउटा मान्छे पियानो बजाउँदै छ।,मानिस भायोलिन बजाउँदै छ।,1.75
एउटी महिला मासु काट्दै छिन्।,एउटी महिला मासु रोटीरहेकी छिन्।,2.25
एउटा मानिस आफ्नो किबोर्डमा खेलिरहेको छ।,एउटा मान्छे किबोर्ड पियानो बजाउँदै छ।,4.0
महिलाले हरियो प्याज काटिन्।,महिलाले हरियो प्याज काटिन्।,4.8
कोही पानीमा चाउचाउ खाइरहेका छन्।,एउटी महिला पानीमा चाउचाउ उमाल्दै छिन्।,3.2
लियोनेल रिची छतमा नाच्दै छन्।,लियोनेल रिची छतमा उभिएर नाच्दै।,4.0
एउटा मान्छे पियानो बजाउँदै छ।,एक व्यक्ति पियानो बजाउँदै छ।,4.4
एउटी महिला बाँसुरी बजाइरहेकी छिन् ।,एउटी महिला बाँसुरी बजाउँदै।,4.6
एउटा केटाले क्यालेन्डर जाँच्दै छ।,एउटा केटा क्यालेन्डर हेर्दै छ।,3.8
एउटी महिला प्याज काट्दै छिन्।,एउटी महिला प्याज काट्दै छिन्।,4.8
एकजना मानिस गितार बजाइरहेका छन्।,एउटा मान्छे गितार बजाउँछ।,4.857
एउटी महिला सिलाई मेसिन प्रयोग गर्दै।,एउटी महिला मेसिनमा सिलाई गर्दै।,5.0
एउटी महिला प्यानकेक पल्टाउँदै छिन्।,एक कार्टुन शेफ प्यानकेकहरू पल्टाउँदै हुनुहुन्छ।,2.533
एउटा मान्छे बाटोमा दौडिरहेको छ ।,बाटोमा एउटा गाडी गुडिरहेको छ ।,1.0
एउटा मानिस घोडामा सवार छ।,एक जना मानिस फोनमा कुरा गर्दैछ।,1.0
एकजना मानिस साइकल चलाउँदै छन्।,एउटा मानिस घोडामा सवार छ।,2.0
एउटी महिला नाचिरहेकी छिन् ।,एउटा मान्छे खाँदै छ।,0.143
एउटा मान्छे पियानो बजाउँदै छ।,एउटा मान्छे बाँसुरी बजाउँदै छ।,2.0
एउटा मान्छे बाँसुरी बजाउँदै छ।,एउटा मान्छे पियानो बजाउँदै छ।,1.6
एउटा मान्छे घुमिरहेको छ।,एउटा मान्छे नाचिरहेको छ।,1.6
एउटा बाँदर एउटा खुट्टाबाट अर्को खुट्टामा झुलिरहेको छ।,एउटा बाँदर रुखबाट अर्को रुखमा झुलिरहेको छ ।,3.4
मानिसहरू रेलबाट ओर्लिए।,मानिसहरू रेलबाट स्टेशनमा ओर्ले।,4.0
एउटा कुकुर ट्राम्पोलिनमा हाम फालेको छ।,एउटा कुकुर ट्राम्पोलिनमा उछालिन्छ।,4.8
एउटा केटा वाद्य बजाउँदै छ।,एउटा मानिस तुरही बजाउँदै छ।,2.5
एउटी महिला गितार बजाउँदै।,एकजना मानिस गितार बजाउँछन् र गाउँछन्।,1.75
एउटी महिला क्यान टिप्दै छिन्।,एउटी महिला टमाटर काट्दै छिन्।,1.0
एउटा मानिस डोरी चढ्दै छ।,एउटा मानिस डोरी चढ्दै छ।,5.0
एक जना मानिस कार उठाउँदै छन्।,एउटा मानिस पर्खाल चढ्दै छ।,1.4
एक पुरुष र महिला जीपमा सडकमा ड्राइभ गर्दै छन्।,एक पुरुष र महिला खुला हावामा सडकमा ड्राइभ गर्दै छन्।,4.0
शर्ट नभएको मान्छे कुर्सीमा बस्यो।,एउटा शर्ट नभएको मान्छे कुर्सीमा बसिरहेको छ।,3.8
दुई महिला कुस्ती खेल्दै छन्।,दुईजना महिला भुइँमा कुस्ती खेलिरहेका छन्।,4.0
कुकुर निलो टेनिस बल संग खेल्यो।,एउटा कुकुर टेनिस बलसँग खेलिरहेको छ।,4.0
कङ्गरुले केही खाइरहेको छ।,एउटा कंगारु खाइरहेको छ।,4.8
एउटा बिरालो पियानो बजाउँदै छ।,एउटा मान्छे गितार बजाउँदै छ।,0.6
मानिसले चक्कुले केही कार्पेट काट्यो।,एक जना मानिस चक्कुले गलैंचा काट्दै छ।,4.75
एउटी महिला सडकमा मोटर चालित स्कुटरमा सवार छिन्।,एकजना मानिस मोटर स्कुटरमा सवार छन्।,2.2
कोही तरकारी काट्दै छन्।,कोही टमाटर काट्दै छन्।,3.0
एउटी महिला नाचिरहेकी छिन् ।,एउटा मान्छे बोल्दै छ।,0.0
एउटा कुकुरले बच्चाको लार चाट्छ।,एउटा कुकुरले बच्चा चाट्छ।,2.2
एउटा मानिस डुङ्गा चलाउँदै छ।,एउटा मानिस टमाटर काट्दै छ।,0.4
एउटा मानिसले आलु काट्दै छ।,एउटा मानिसले आलु काट्दै छ।,4.8
एउटी महिला लसुन काट्दै छिन्।,महिला लसुन काट्दै छिन्।,4.8
सर्कलमा चल्ने जनावर।,एक गिलहरी सर्कलमा दौडन्छ।,3.8
एउटा मानिस डोरीको पुल पार गर्दै बिस्तारै हिँडिरहेको छ।,एउटा केटा पुल पार गर्दै छ।,3.0
एकजना मानिस गितार बजाइरहेका छन्।,एउटा कोठामा बसेको मान्छे गितार बजाइरहेको छ।,4.0
एउटा मान्छे बाँसुरी बजाउँछ।,एउटा मान्छे बाँसुरी बजाउँदै छ।,5.0
एउटी महिलाले एउटा गिलासको भाँडोमा दुईवटा अण्डा फाल्छिन्।,एउटी महिला एउटा भाँडोमा अण्डा फुटिरहेकी छिन्।,3.8
एउटा मान्छे माछा काट्दै छ।,एक जना मानिसले माछा मार्छ।,3.0
दुई जना पुरुष कारको ट्रंकमा सुटकेसहरू प्याक गर्दै छन्।,पुरुषहरूले कारको ट्रंकमा सुटकेसहरू हालिरहेका छन्।,4.4
एक जना मानिस टमाटरमा तेल खन्याउदैछ।,मानिसले काटेको टमाटरमा तेल खन्यायो।,3.8
एक जना मानिसले केहि काट्दै छ।,एउटा मानिसले रोटी काट्दै छ।,3.0
एक जना मानिस डोंगीमा प्याडल गर्दै छन्।,एउटा मानिस वीणा बजाउँदै छ।,0.667
एकजना पुरुष र महिला जङ्गलमा सँगै हिंडिरहेका छन्।,एक पुरुष र महिला एक जंगली क्षेत्र मार्फत हातमा हातमा हिंड्दै छन्।,4.0
महिलाले कङ्गारु उठाइन्।,एउटी महिला कंगारुको बच्चा उठाउँदै।,3.75
माछा पौडी खेलिरहेका छन्।,एउटा माछा पौडी खेलिरहेको छ।,4.133
दुई महिलाहरू खाना प्रोसेसरमा केहि मिसाउँछन्।,दुई महिलाले ब्लेंडरमा केहि बनाउँछन्।,4.0
एक व्यक्ति ठूलो लहर सर्फ गर्दैछ।,एक व्यक्ति सर्फिङ गर्दैछ।,3.6
एउटा मान्छे गितार बजाउँदै छ।,एउटा मानिसले निशाना प्रहार गर्दैछ।,1.2
एउटा मान्छे ब्यान्डमा बाँसुरी बजाउँदै छ।,एउटा मान्छे गितार बजाउँदै छ।,1.6
त्यो मानिसले रोटीको रोटीमा माखन फैलायो।,एक जना मानिस रोटीमा माखन फैलाउँदै छ।,4.0
एक व्यक्ति चाउचाउ उमाल्दै छ।,एउटी महिला पानीमा चाउचाउ उमाल्दै छिन्।,4.0
पहाडमा मानिसहरूको समूह नाचिरहेको छ।,मानिसहरूको एक समूह नाचिरहेको छ।,3.2
बाहिर एउटा मान्छे नाचिरहेको छ।,एउटा मान्छे बाँसुरी बजाउँदै छ।,1.0
एउटी महिलाले पुरुषलाई खुवाउँछिन्।,एउटी महिला मासु मिलाइरहेकी छिन्।,1.0
एउटा मानिस चुलोमा प्यान हाल्दै छ।,एउटी महिला प्याज काट्दै छिन्।,0.6
एउटी महिला डेस्कमा बसिरहेकी छिन्।,एउटी महिला गधामा सवार छिन्।,0.4
चिकित्सकहरूले बिरामीलाई स्ट्रेचरमा ढुवानी गर्छन्।,डाक्टरले बिरामीलाई स्ट्रेचरमा लैजान्छ।,3.4
एउटी महिला स्टेजमा बाँसुरी बजाउँदै छिन्।,महिला बाँसुरी बजाइरहेकी छिन् ।,3.6
दुई बच्चा पाण्डा खेलिरहेका छन्।,दुई पाण्डा सँगै बसिरहेका छन्।,3.0
एउटा बच्चा हाँसिरहेको छ।,एउटा बच्चा हाँसिरहेको छ र हाँसिरहेको छ।,4.0
एउटा मान्छे गितार बजाउँदै छ।,एउटा केटा पियानो बजाउँदै छ।,1.2
एउटा मान्छे कागज फोल्ड गर्दै छ।,एउटी महिला खुर्सानी काटिरहेकी छिन्।,0.6
तीन जना महिला नाचिरहेका छन् ।,मान्छे नाचिरहेको छ।,1.6
बिरालाहरू एकअर्कासँग खेलिरहेका छन्।,दुई बिरालाहरू आपसमा लडिरहेका छन्।,2.6
एक व्यक्ति लेख्दै छन्।,एक व्यक्ति पेन्सिलले लेख्दै छ।,3.6
एउटा मान्छे दौडिरहेको छ ।,एउटा मान्छे बाटोमा दौडिरहेको छ।,3.5
आइमाई आटा घुमाइरहेकी छिन्।,एउटी आइमाई पीठो पलाउँदै छिन्।,3.765
एउटी महिला मासुमा मसला हाल्दै छिन्।,महिला मासुमा चिनी थप्दै छिन्।,2.75
एउटी महिला माछामा तेल हाल्दै छिन्।,एउटी महिला माछामा पानी खन्याइरहेकी छिन्।,2.25
एक जवान केटा गितार समातिरहेको छ।,एउटा सानो केटा गितार बजाउँदै छ।,2.75
एउटा चितुवा दौडिरहेको छ ।,एउटा चितुवा खेतमा दौडिरहेको छ।,3.8
मान्छे पिज्जा खाइरहेको छ।,एउटा मान्छे पिज्जाको टुक्रा खाइरहेको छ।,4.8
एक ओराङ्गुटान बस चढ्दै छ।,एउटा बाँदर बसमा चढिरहेको छ।,3.6
एक पुरुष र एक महिला एक डिनर मा कुरा गर्दै।,एक पुरुष र एक महिला साइकलमा सवार छन्।,1.2
एउटा मान्छे गितार बजाउँदै छ।,एउटा मानिस सिसाको ढोका सफा गर्दैछ।,0.4
एउटी केटी गितार बजाउँदै गीत गाउँदै छिन्।,एक युवक गितार बजाउँदै गीत गाउँदै छन् ।,2.4
एउटी केटी सांकेतिक भाषामा कुराकानी गर्दैछिन्।,एउटी युवती साङ्केतिक भाषा प्रयोग गरिरहेकी छिन्।,3.941
एउटी महिला तौल व्यायाम गरिरहेकी छिन्।,एउटी महिला आफ्नो कपाल बनाउँदै छिन्।,0.5
एउटा मान्छे कार भित्र पस्दैछ।,एक वृद्ध मानिस रातो कारमा चढ्दै छन्।,3.75
एउटा ठुलो हरियो बलले आलुलाई ढकढक गर्छ।,एउटा ठूलो हरियो बलले आलुमा ठोक्छ।,4.0
एउटा बिरालो किबोर्ड खेलिरहेको छ।,एउटा बिरालो पियानो बजाउँदै छ।,3.0
दुई कुकुर पोखरीमा पौडी खेल्छन्।,कुकुरहरू पोखरीमा पौडी खेलिरहेका छन्।,4.2
ती व्यक्तिले प्याज काट्न हेलिकप्टर प्रयोग गरे।,मानिसले आलु काट्न मेसिन प्रयोग गर्यो।,2.0
एउटी महिला टोफु टुक्रा पार्दै।,एउटी महिला टोफु काट्दै छिन्।,5.0
हरिणको बथान सडक पार गर्दैछ।,क्यारिबुको बथान सडक पार गर्दैछ।,3.0
व्यक्ति घोडामा सवार छ।,एकजना मानिस घोडा चढ्दै छन्।,3.8
कोही जनावरलाई खुवाउँदैछन्।,कोही पियानो बजाउँदै छन्।,0.0
कोही टोर्टिलाको टुक्रा काट्दै छन्।,कोही घोडा चढिरहेका छन्।,0.0
कोही सामग्रीहरू मिसाउँदै छन्।,कोही चीजहरू सिलाई।,0.25
एउटा भाले मरेको मुसालाई टाँस्छ।,एउटा कुखुराले मरेको मुसालाई टकराइरहेको छ।,4.0
एउटी महिलाले कंगारु समातिन्।,एउटी महिला कंगारु उठाउँदै छिन्।,3.25
एउटा मान्छे भ्यागुतासँग खेलिरहेको छ,एउटा बिरालो क्यामेरासँग खेलिरहेको छ।,0.75
दुईजना पुरुष कुरा गरिरहेका छन् ।,दुई पुरुष गितार बजाइरहेका छन्।,1.5
एउटा मानिस रोटीको ठूलो टुक्रामा मक्खन फैलाउँछ।,एक जना मानिस लसुनको रोटीको टुक्रामा मक्खन लगाइरहेछ।,3.5
एउटा मानिस अग्लो तार पार गर्दै दौडिरहेको छ।,एउटा मानिस डोरीमा दौडिरहेको छ।,3.0
एउटा मान्छे घाँस काट्दै छ।,एउटी महिला कागती काट्दै छिन्।,0.2
एउटा मान्छे ढोका खोल्दै छ।,एउटा मान्छे गितार बजाउँदै छ।,0.8
एउटा मानिसले आलुलाई टुक्रा पार्दै छ।,एउटा मान्छे आलु काट्दै छ।,4.2
महिलाले पकाएको अक्टोपस काट्दै छिन्।,एउटी महिला अक्टोपस काट्दै छिन्।,3.8
एउटा मानिस बोर्डमा मुक्का हान्दै छ।,एउटा कुकुर पानीबाट दौडिरहेको छ।,0.4
एउटा मान्छे नाचिरहेको छ।,एक जना मानिस रोटी खाइरहेको छ।,0.8
कोही पियानो बजाउँदै छन्।,एउटा मान्छे गितार बजाउँदै छ।,1.2
इट्टाको आँगनमा दुईवटा स्यालहरू थालबाट खाइरहेका छन्।,स्यालहरू थालबाट खाइरहेका छन्।,2.8
एउटा केटा किबोर्ड खेलिरहेको छ।,एउटा केटा पियानो बजाउँदै छ।,3.2
एक व्यक्तिले किबोर्ड बजाउँछ।,कोही किबोर्ड बजाउँदै छन्।,5.0
एक जना मानिस बन्दुक हान्दै छ।,एउटा मान्छे थुकिरहेको छ।,0.0
कोही प्याज काटिरहेका छन्।,कोही आलु बोक्दै छन्।,1.0
एउटा मान्छे पौडी खेलिरहेको छ।,एउटी महिला मासु काट्दै छिन्।,0.0
एकजना मानिस गितार बजाइरहेका छन्।,एक व्यक्ति ध्वनिक गितार बजाउँछन्।,3.75
एउटी महिला कद्दू काट्दै छिन्।,एउटी महिला हात्तीमा सवार छिन्।,0.4
एउटी महिला नाचिरहेकी छिन् ।,एउटी महिला पीठो मुछिरहेकी छिन्।,0.4
एउटी महिला कचौरामा अण्डा काटिरहेकी छिन्।,एउटी महिला र्‍याकमा स्किवरहरू राख्दै छिन्।,0.6
एउटा गाडी सडकमा गुडिरहेको छ।,बाटोमा एउटा गाडी गुडिरहेको छ ।,4.0
कोही प्यान ग्रिस गर्दैछन्।,Smeone सुतिरहेको छ।,0.4
एकजना मानिस गितार बजाइरहेका छन्।,एक मानिस पास्ता निकाल्दै छ।,0.4
एउटी महिला भोड्का पिइरहेकी छिन्।,एउटी महिला व्यायाम गर्दै छिन्।,0.4
एउटी महिला मासु टुक्रा टुक्रामा काटिरहेकी छिन्।,एउटी महिला मासु काट्दै छिन्।,4.8
एउटा मानिस स्टेक कुल्ला गर्दैछ।,एउटा मान्छे गितार बजाउँदै छ।,0.6
एकजना मानिस सामान बेच्दै छन्।,एउटा मानिस घर सफा गर्दैछ।,0.8
एउटा मान्छे पर्खाल हाम्दै छ।,एउटा मानिस छोटो पर्खालमा हाम फाल्छ।,3.2
धावकहरू ट्र्याक वरिपरि दौड।,धावकहरू दौडमा प्रतिस्पर्धा गर्छन्।,3.2
एक जना मानिस फुटबल बलमा लात हानेको छ।,एउटा मान्छे कचौरा मिलाउँदै छ।,0.6
एउटी आइमाई केही भुटेकी छिन्।,एउटी महिला घोडा चढिरहेकी छिन्।,0.6
एउटा बिरालोले चुस्दै छ।,एउटी महिला काकडी काट्दै छिन्।,0.0
एउटी महिला आगोमा नाचिरहेकी छिन्।,एउटी महिला नुहाइरहेकी छिन्।,1.4
मानिसले माछा खुल्ला काट्दै छ।,एउटा मान्छे आलु काट्दै छ।,2.2
प्यानमा मक्खन पग्लिरहेको छ।,एउटा मानिस प्यानमा मक्खन पग्लिरहेको छ।,3.6
तीन जना केटा नाचिरहेका छन् ।,केटाकेटीहरु नाचिरहेका छन् ।,3.111
एउटी महिला पुरुषसँग खेल खेल्दै छिन्।,एउटा मान्छे पियानो बजाउँदै छ।,0.6
मानिस सेतो कार चलाउँदै छ।,एकजना मानिस अन्तर्वार्ता दिइरहेका छन् ।,0.4
एकजना मानिसले आफ्नो कार चलाए।,एक जना मानिस कार चलाउँदै छन्।,4.25
एउटा कार स्पेसबाट बाहिर निस्कन्छ।,एउटा कार अवरुद्ध लेनबाट पछाडि हटिरहेको छ।,3.0
एउटा मानिसले पिज्जामा केही चीज राख्छ।,मानिसले पिज्जामा चीज छर्क्यो।,5.0
केटा पियानो बजाउँदै छ।,एक केटा पियानो बजाउँछ।,5.0
